,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
HDAC11,213,92,1514,97,607,718
HDAC11-AS1,0,0,3,0,0,1
HDAC1P2,0,0,0,4,0,2
HDAC2,884,510,1959,2659,2735,2593
HDAC2-AS2,0,0,0,5,8,1
HDAC3,681,323,1507,1230,2228,2220
HDAC4,23,3,85,48,75,82
HDAC4-AS1,2,9,3,1,1,0
HDAC5,134,49,848,80,571,638
HDAC6,489,226,2302,402,1480,1717
HDAC7,140,68,642,335,1213,1381
HDAC8,81,46,124,263,277,256
HDAC9,138,61,178,177,136,164
HDC,0,0,0,0,0,0
HDDC2,313,244,909,829,1073,1142
HDDC3,114,108,451,39,177,147
HDGF,6002,2751,14790,8015,17210,17330
HDGFL1,0,0,0,0,0,0
HDGFL2,52,17,440,86,586,543
HDGFL3,137,64,244,784,665,674
HDHD2,138,65,226,352,370,374
HDHD3,44,12,250,69,191,197
HDHD5,84,76,415,121,382,417
HDHD5-AS1,2,0,5,1,3,5
HDLBP,7891,4188,21713,8808,18128,19622
HDX,13,2,20,30,31,33
HEATR1,1214,544,1819,2197,1690,2064
HEATR3,237,109,366,702,666,644
HEATR4,46,12,48,12,13,15
HEATR5A,525,307,707,596,479,592
